espvida;fectot;mort5;razdep;e_anosestudo;gini;rdpc;emp;t_ativ;t_des;trabcc;trabpub;trabsc;t_agua;t_dens;t_lixo;t_luz;agua_esgoto;t_sluz;homemtot;mulhertot;pea;pia;pop;popt;investimento;idhm
76,35;2,33;13,78;46,45;10,43;0,45;801,49;3,49;56,86;8,46;48,88;7,93;12,74;96,74;18,9;99,09;99,22;0,29;0,78;21182;21338;20550;36139;42245;42207;0;0,762
77,35;1,52;12,31;38,08;12,2;0,4;881,09;0,99;83,04;1,01;27,74;3,62;9,53;91,84;7,03;98,43;100;0,87;0;3098;2938;4538;5464;6027;6027;0;0,761
76,9;1,72;12,96;39,2;9,5;0,33;794,12;3,07;72,8;2,51;58,77;3,07;10,28;92,86;14,6;99,28;100;1,25;0;13287;12973;16341;22445;26060;26060;0;0,740
77,37;2,1;12,28;47,49;9,84;0,34;680,25;0,43;64,48;1,52;49,69;0,94;13,96;96,75;15,78;98,9;99,79;0;0,21;1790;1645;1882;2919;3409;3409;0;0,738
75,39;1,59;15,25;44,25;10,61;0,42;558,4;1,21;67,32;2,48;17,55;3,47;20,2;79,4;10,4;100;100;0,16;0;3530;3472;4100;6091;6979;6948;1;0,695
74,01;2,26;17,56;44,16;8,74;0,48;641,75;2,55;61,16;4,6;49,29;5,16;11,6;92,58;11,39;100;99,73;0,3;0,27;12434;12378;12907;21102;24778;24719;1;0,687
77,81;1,46;11,67;35,06;10,52;0,44;1157,43;3,16;66,96;4,58;62,64;7,11;8,49;97,85;13,24;99,81;99,97;0,11;0,03;101392;108412;122879;183507;208673;208673;0;0,809
74,79;1,64;16,24;44,18;10,07;0,48;866,73;5,07;70,18;2,24;37,08;5,67;11,03;97,42;8,46;92,87;99,49;0,52;0,51;6892;6792;8439;12025;13638;13552;0;0,731
74,61;1,9;16,54;51,3;9,12;0,46;375,44;0,93;56,77;1,91;16,01;2,02;17,13;68,53;11,82;98,32;99,56;1,59;0,44;4801;4472;4556;8026;9216;8993;1;0,636
73,43;1,69;18,61;43,63;9,79;0,46;841,27;2,37;73,02;2,21;48,59;3,8;10,86;94,35;10,86;95,62;99,79;1,47;0,21;10828;10964;13668;18719;21668;21593;0;0,749
