espvida;fectot;mort5;razdep;e_anosestudo;gini;rdpc;emp;t_ativ;t_des;trabcc;trabpub;trabsc;t_agua;t_dens;t_lixo;t_luz;agua_esgoto;t_sluz;homemtot;mulhertot;pea;pia;pop;popt;investimento;idhm
73,5;1,65;18,47;41,33;12,16;0,41;768,23;1,19;67,02;1,82;40,41;1,7;13,68;85,69;9,6;99,31;99,95;1,23;0,05;3458;3542;4133;6167;6977;6970;0;0,738
74,23;2,08;17,18;50,51;11,06;0,39;560,66;0,53;64,03;0,54;34,12;7,15;9,06;66,25;9,42;99,76;100;0;0;1273;1240;1387;2166;2504;2493;1;0,708
78,17;1,8;11,17;45,97;11,1;0,43;858,23;5,21;73,71;1,51;36,68;5,78;10,52;95,13;11,47;96,56;100;0,4;0;2070;1975;2602;3531;4019;4019;0;0,760
77,52;1,49;12,07;37,69;10,08;0,4;741,84;3,18;75,68;1,79;46,98;2,72;9,69;88,96;11,63;98,67;99,76;2,55;0,24;5422;4809;6844;9044;10154;10150;0;0,748
73,23;2,62;18,97;54,61;9,64;0,45;449,82;0,87;54,17;10,26;61,17;4,65;14,74;96,42;26,61;99,48;98,79;0,99;1,21;4740;4572;4128;7620;9294;9290;1;0,643
74,58;2,04;16,59;52,77;10,77;0,44;432,84;1,72;56,58;4,14;33,68;4,04;24,36;95,51;20,57;96,62;98,95;3,82;1,05;4283;4063;3950;6982;8336;8240;1;0,675
74,51;1,79;16,72;40,59;11,04;0,36;759,25;5,13;65,34;3,04;62,61;3,68;10,89;89,98;12,6;98,13;100;0,03;0;8078;8048;9027;13814;16097;16097;0;0,738
75,8;1,7;14,61;39,61;9,42;0,51;809,37;1,01;70,72;1,05;33,58;5;9,64;90,9;8,22;98,76;100;0;0;1513;1377;1802;2548;2890;2877;1;0,701
77,37;2,16;12,28;44,45;9,61;0,41;756,39;1,42;59,85;6,29;57,97;4,35;13,83;97,44;20,85;99,79;99,96;2,3;0,04;30158;30398;30573;51085;60411;60384;0;0,736
76,03;1,73;14,26;41,46;12,03;0,44;944,83;4,48;77,5;2,07;40,6;5,11;22,07;98,2;8,68;97,51;99,95;0,34;0,05;2205;2070;2886;3724;4273;4273;0;0,765
77,54;2,39;12,04;45,75;9,34;0,55;868,83;3,38;63,9;1,39;20,09;4,05;8,93;73,24;9,95;86,19;99,59;1,19;0,41;2210;2057;2382;3728;4258;4235;0;0,736
78,43;1,45;10,83;38,52;9,74;0,35;847,77;2,92;70,07;1,13;56,55;4,39;5,7;85,07;7,11;97,82;100;0,07;0;6181;6009;7530;10746;12148;12046;0;0,748
77,14;1,57;12,61;40,47;10,62;0,39;805,79;2,14;63,4;2,88;60,31;2,22;9,16;89,78;8,7;99,19;99,95;0,44;0,05;6719;6590;7368;11620;13188;13188;0;0,768
75,76;1,54;14,67;48,25;9,16;0,39;623,51;0,87;87,78;0,53;19,34;6,49;12,29;85,66;11,7;81,48;99,54;1,73;0,46;1450;1300;2065;2352;2732;2730;1;0,706
77,35;1,6;12,31;39,91;10,07;0,45;844,35;2,06;63,61;3,22;57,15;1,6;10,64;88,85;10,3;95,23;100;2,34;0;10634;10759;11829;18597;21373;21355;0;0,755
75,12;2,32;15,7;45,92;9,88;0,4;677,67;2,43;59,6;5,5;60,72;3,35;12,53;98,18;11,93;99,78;99,93;1,23;0,07;8262;8075;8187;13737;16311;16201;0;0,740
78,06;1,63;11,33;41,74;10,98;0,45;987,45;2,84;72,48;2,45;41,78;2,63;10,31;91,77;6,5;98,6;100;0,05;0;3671;3701;4690;6471;7329;7329;0;0,774
72,4;1,96;20,53;45,48;9,63;0,53;607,09;0;44;1,92;36,16;6,82;19,56;90,76;10,63;90,51;99,29;1,52;0,71;1150;1121;859;1952;2267;2201;1;0,695
75,84;1,84;14,55;43,68;9,56;0,44;644,16;0;72,36;0,21;20,87;7;6,97;94,34;18,07;100;99,44;4,88;0,56;939;824;1116;1543;1752;1738;1;0,718
73,45;1,94;18,57;50,16;10,7;0,49;511,7;0,5;60,59;3,4;30,75;7,29;19,75;81,06;10,07;99,55;99,54;0;0,46;1232;1121;1222;2016;2353;2343;1;0,664
76,55;2;13,87;38,96;9,83;0,4;862,74;2,5;66,33;4,3;59,85;6,43;10,24;94,97;16,83;99,42;99,9;0,54;0,1;68436;68898;78134;117804;136699;136675;0;0,757
73,01;2,35;19,38;49,45;10,77;0,5;623,64;1,34;70,74;3,48;36,38;5,9;11,17;93,77;11,27;99;99,11;2,26;0,89;3957;3808;4670;6602;7687;7586;1;0,704
74,61;2,42;16,54;51,15;8,66;0,43;471,82;2,3;62,79;6,86;34,34;7,61;10,45;82,77;8,4;99,74;99,56;0,65;0,44;1221;1152;1260;2008;2373;2291;1;0,671
75,13;1,7;15,68;42,3;11,39;0,46;887,5;3,57;70,09;2,39;30,84;4,03;12,27;94,99;11;96,23;99,63;2,05;0,37;8018;8002;9863;14072;15987;15942;0;0,737
75,17;2,18;15,61;48,26;9,31;0,47;589,35;1,9;69,19;3,1;30,69;3,59;15,26;95,61;19,02;97,03;99,22;2,83;0,78;9172;8756;10455;15111;17882;17721;1;0,704
75;1,99;15,89;49,12;11,83;0,5;743,76;2,88;71,67;1,76;14,28;5,89;12,9;88,44;12,12;89,1;99,57;3,81;0,43;2091;1989;2569;3584;4059;4059;1;0,700
